3,Suárez Mira Olga Lucía,No
3,Tamayo Tamayo Fernando Eustacio,No
3,Casado de López Arleth Patricia,No
3,Delgado Ruiz Édinson,No
3,Durán Barrera Jaime Enrique,No
3,García Turbay Lidio,No
3,Santos Marín Guillermo Antonio,No
3,Villalba Mosquera Rodrigo,No
3,Correa Jiménez Antonio José,No
3,García Romero Teresita,No
3,Guerra Sotto Julio Miguel,No
3,Motoa Solarte Carlos Fernando,No
3,Name Iván Leonidas ,No
3,Vega Quiroz Doris Clemencia,No
3,Andrade Casamá Luis Evelis,No
3,Castilla Salazar Jesús Alberto,No
3,Cepeda Castro Iván,No
3,Niño Avendaño Senén Segundo,No
3,López Hernández Claudia Nayibe,No
3,Navarro Wolff Antonio José ,No
3,Ospina Gómez Jorge Iván,No
3,Prieto Riveros Jorge Eliécer,No
3,Galán Pachón Carlos Fernando ,No
3,Martínez Rosales Rosmery,No
3,Varón Cotrino Germán,No
3,Alvarez Montenegro Javier Tato,No
3,Cristo Bustos Andrés,No
3,Fernández Alcocer Mario Alberto ,No
3,Gaviria Correa Sofía Alejandra,No
3,Morales Hoyos Viviane,No
3,Serpa Uribe Horacio ,No
3,Acuña  Díaz Laureano Augusto,No
3,Blel Scaf Nadya Georgette,No
3,Delgado Martínez Javier Mauricio,No
3,Gómez Jiménez Juan Diego,No
3,Osorio  Salgado Nidia Marcela ,No
3,Pestana Rojas Yamina del Carmen  ,No
3,Araújo Rumié Fernando Nicolás,No
3,Bustamante García Everth ,No
3,Cabrales Castillo Daniel  Alberto ,No
3,Castañeda Serrano Orlando ,No
3,Correa  Borrero Susana ,No
3,Duque Márquez Iván ,No
3,Gaviria Vélez José  Obdulio,No
3,Baron Neira Leon Rigoberto,No
3,Holguín Moreno Paola  Andrea ,No
3,Macías Tovar Ernesto  ,No
3,Mejía Mejía Carlos  Felipe ,No
3,Ramos Maya Alfredo ,No
3,Rangel  Suárez Alfredo ,No
3,Tovar Rey Nohora  Stella,No
3,Uribe Vélez Álvaro ,No
3,Valencia  Laserna Paloma ,No
3,Guerra  de la Espriella Maria del Rosario,No
3,Amín Hernández Jaime Alejandro,No
3,Henríquez Pinedo Honorio Miguel ,No
3,Amín Escaf Miguel ,No
3,Cabrera Báez Ángel Custodio ,No
3,Chamorro  Cruz William Jimmy,No
3,García Zuccardi Andrés,No
3,Gnecco Zuleta José  Alfredo  ,No
3,Pulgar Daza Eduardo Enrique ,No
3,Villadiego Villadiego Sandra  Elena ,No
3,Rodríguez Rengifo Roosvelt ,No
4,Vega  de Plazas Ruby Thania,No
4,Andrade Serrano Hernán Francisco,No
4,Asthon Giraldo Álvaro Antonio,No
4,Benedetti Villaneda Armando Alberto,No
4,Celis Carrillo Bernabé,No
4,Cepeda Sarabia Efraín José,No
4,Corzo Román Juan Manuel,No
4,Char Chaljub Arturo,No
4,Duque Garcia Luis Fernando,No
4,Enríquez Maya Carlos Eduardo,No
4,Enríquez Rosero Manuel Mesías,No
4,Galán Pachón Juan Manuel,No
4,Galvis Méndez Daira,No
4,García Realpe Guillermo,No
4,Gerlein Echeverría Roberto,No
4,Guerra de la Espriella Antonio del Cristo,No
4,López Maya Alexánder,No
4,Mora Jaramillo Manuel Guillermo,No
4,Name Cardozo José David,No
4,Pedraza Gutiérrez Jorge Hernando,No
4,Restrepo Escobar Juan Carlos,No
4,Robledo Castillo Jorge Enrique,No
4,Rodríguez Sarmiento Milton Arlex,No
4,Sierra Grajales Luis Emilio,No
4,Velasco Chaves  Luis Fernando,No
4,Aguilar Hurtado Nerthink Mauricio,No
4,Avirama Avirama Marco Aníbal,No
4,Barreras Montealegre Roy Leonardo,No
4,Besaile Fayad Musa,No
4,Elías Vidal Bernardo Miguel,No
4,Hoyos Giraldo Germán Darío,No
4,Lizcano Arango Oscar Mauricio,No
4,Soto Jaramillo Carlos Enrique,No
4,Martínez Aristizábal Maritza,No
4,García Burgos Nora María,No
4,Merheg Marun Juan Samy,No
4,Paredes Aguirre Myriam Alicia,No
4,Suárez Mira Olga Lucía,No
4,Tamayo Tamayo Fernando Eustacio,No
4,Casado de López Arleth Patricia,No
4,Delgado Ruiz Édinson,No
4,Durán Barrera Jaime Enrique,No
4,García Turbay Lidio,No
4,Santos Marín Guillermo Antonio,No
4,Villalba Mosquera Rodrigo,No
4,Correa Jiménez Antonio José,No
4,García Romero Teresita,No
4,Guerra Sotto Julio Miguel,No
4,Motoa Solarte Carlos Fernando,No
4,Name Iván Leonidas ,No
4,Vega Quiroz Doris Clemencia,No
4,Andrade Casamá Luis Evelis,No
4,Castilla Salazar Jesús Alberto,No
4,Cepeda Castro Iván,No
4,Niño Avendaño Senén Segundo,No
4,López Hernández Claudia Nayibe,No
4,Navarro Wolff Antonio José ,No
4,Ospina Gómez Jorge Iván,No
4,Prieto Riveros Jorge Eliécer,No
4,Galán Pachón Carlos Fernando ,No
4,Martínez Rosales Rosmery,No
4,Varón Cotrino Germán,No
4,Alvarez Montenegro Javier Tato,No
4,Cristo Bustos Andrés,No
4,Fernández Alcocer Mario Alberto ,No
4,Gaviria Correa Sofía Alejandra,No
4,Morales Hoyos Viviane,No
4,Serpa Uribe Horacio ,No
4,Acuña  Díaz Laureano Augusto,No
4,Blel Scaf Nadya Georgette,No
4,Delgado Martínez Javier Mauricio,No
4,Gómez Jiménez Juan Diego,No
4,Osorio  Salgado Nidia Marcela ,No
4,Pestana Rojas Yamina del Carmen  ,No
4,Araújo Rumié Fernando Nicolás,No
4,Bustamante García Everth ,No
4,Cabrales Castillo Daniel  Alberto ,No
4,Castañeda Serrano Orlando ,No
4,Correa  Borrero Susana ,No
4,Duque Márquez Iván ,No
4,Gaviria Vélez José  Obdulio,No
4,Baron Neira Leon Rigoberto,No
4,Holguín Moreno Paola  Andrea ,No
4,Macías Tovar Ernesto  ,No
4,Mejía Mejía Carlos  Felipe ,No
4,Ramos Maya Alfredo ,No
4,Rangel  Suárez Alfredo ,No
4,Tovar Rey Nohora  Stella,No
4,Uribe Vélez Álvaro ,No
4,Valencia  Laserna Paloma ,No
4,Guerra  de la Espriella Maria del Rosario,No
4,Amín Hernández Jaime Alejandro,No
4,Henríquez Pinedo Honorio Miguel ,No
4,Amín Escaf Miguel ,No
4,Cabrera Báez Ángel Custodio ,No
4,Chamorro  Cruz William Jimmy,No
4,García Zuccardi Andrés,No
4,Gnecco Zuleta José  Alfredo  ,No
4,Pulgar Daza Eduardo Enrique ,No
4,Villadiego Villadiego Sandra  Elena ,No
4,Rodríguez Rengifo Roosvelt ,No
5,Vega  de Plazas Ruby Thania,Si
5,Andrade Serrano Hernán Francisco,No
5,Asthon Giraldo Álvaro Antonio,No
5,Benedetti Villaneda Armando Alberto,No
5,Celis Carrillo Bernabé,No
5,Cepeda Sarabia Efraín José,Si
5,Corzo Román Juan Manuel,No
5,Char Chaljub Arturo,No
5,Duque Garcia Luis Fernando,No
5,Enríquez Maya Carlos Eduardo,Si
5,Enríquez Rosero Manuel Mesías,Si
5,Galán Pachón Juan Manuel,No
5,Galvis Méndez Daira,No
5,García Realpe Guillermo,No
5,Gerlein Echeverría Roberto,No
5,Guerra de la Espriella Antonio del Cristo,No
5,López Maya Alexánder,Si
5,Mora Jaramillo Manuel Guillermo,No
5,Name Cardozo José David,No
5,Pedraza Gutiérrez Jorge Hernando,No
5,Restrepo Escobar Juan Carlos,Si
5,Robledo Castillo Jorge Enrique,No
5,Rodríguez Sarmiento Milton Arlex,Si
5,Sierra Grajales Luis Emilio,No
5,Velasco Chaves  Luis Fernando,No
5,Aguilar Hurtado Nerthink Mauricio,No
5,Avirama Avirama Marco Aníbal,Si
5,Barreras Montealegre Roy Leonardo,No
5,Besaile Fayad Musa,No
5,Elías Vidal Bernardo Miguel,No
5,Hoyos Giraldo Germán Darío,Si
5,Lizcano Arango Oscar Mauricio,No
5,Soto Jaramillo Carlos Enrique,Si
5,Martínez Aristizábal Maritza,Si
5,García Burgos Nora María,Si
5,Merheg Marun Juan Samy,Si
5,Paredes Aguirre Myriam Alicia,Si
5,Suárez Mira Olga Lucía,No
5,Tamayo Tamayo Fernando Eustacio,No
5,Casado de López Arleth Patricia,No
5,Delgado Ruiz Édinson,No
5,Durán Barrera Jaime Enrique,No
5,García Turbay Lidio,No
5,Santos Marín Guillermo Antonio,No
5,Villalba Mosquera Rodrigo,Si
5,Correa Jiménez Antonio José,No
5,García Romero Teresita,No
5,Guerra Sotto Julio Miguel,No
5,Motoa Solarte Carlos Fernando,Si
5,Name Iván Leonidas ,No
5,Vega Quiroz Doris Clemencia,Si
5,Andrade Casamá Luis Evelis,Si
5,Castilla Salazar Jesús Alberto,No
5,Cepeda Castro Iván,Si
5,Niño Avendaño Senén Segundo,Si
5,López Hernández Claudia Nayibe,Si
5,Navarro Wolff Antonio José ,Si
5,Ospina Gómez Jorge Iván,Si
5,Prieto Riveros Jorge Eliécer,No
5,Galán Pachón Carlos Fernando ,Si
5,Martínez Rosales Rosmery,Si
5,Varón Cotrino Germán,No
5,Alvarez Montenegro Javier Tato,No
5,Cristo Bustos Andrés,No
5,Fernández Alcocer Mario Alberto ,No
5,Gaviria Correa Sofía Alejandra,No
5,Morales Hoyos Viviane,Si
5,Serpa Uribe Horacio ,No
5,Acuña  Díaz Laureano Augusto,No
5,Blel Scaf Nadya Georgette,No
5,Delgado Martínez Javier Mauricio,No
5,Gómez Jiménez Juan Diego,No
5,Osorio  Salgado Nidia Marcela ,No
5,Pestana Rojas Yamina del Carmen  ,Si
5,Araújo Rumié Fernando Nicolás,No
5,Bustamante García Everth ,No
5,Cabrales Castillo Daniel  Alberto ,Si
5,Castañeda Serrano Orlando ,Si
5,Correa  Borrero Susana ,Si
5,Duque Márquez Iván ,No
5,Gaviria Vélez José  Obdulio,No
5,Baron Neira Leon Rigoberto,Si
5,Holguín Moreno Paola  Andrea ,No
5,Macías Tovar Ernesto  ,Si
5,Mejía Mejía Carlos  Felipe ,Si
5,Ramos Maya Alfredo ,Si
5,Rangel  Suárez Alfredo ,No
5,Tovar Rey Nohora  Stella,Si
5,Uribe Vélez Álvaro ,Si
5,Valencia  Laserna Paloma ,Si
5,Guerra  de la Espriella Maria del Rosario,Si
5,Amín Hernández Jaime Alejandro,Si
5,Henríquez Pinedo Honorio Miguel ,Si
5,Amín Escaf Miguel ,Si
5,Cabrera Báez Ángel Custodio ,No
5,Chamorro  Cruz William Jimmy,Si
5,García Zuccardi Andrés,Si
5,Gnecco Zuleta José  Alfredo  ,No
5,Pulgar Daza Eduardo Enrique ,No
5,Villadiego Villadiego Sandra  Elena ,No
5,Rodríguez Rengifo Roosvelt ,Si
6,Vega  de Plazas Ruby Thania,No
6,Andrade Serrano Hernán Francisco,No
6,Asthon Giraldo Álvaro Antonio,Si
6,Benedetti Villaneda Armando Alberto,No
6,Celis Carrillo Bernabé,No
6,Cepeda Sarabia Efraín José,No
6,Corzo Román Juan Manuel,No
6,Char Chaljub Arturo,No
6,Duque Garcia Luis Fernando,No
6,Enríquez Maya Carlos Eduardo,No
6,Enríquez Rosero Manuel Mesías,Si
6,Galán Pachón Juan Manuel,Si
6,Galvis Méndez Daira,Si
6,García Realpe Guillermo,No
6,Gerlein Echeverría Roberto,No
6,Guerra de la Espriella Antonio del Cristo,No
6,López Maya Alexánder,No
6,Mora Jaramillo Manuel Guillermo,No
6,Name Cardozo José David,Si
6,Pedraza Gutiérrez Jorge Hernando,No
6,Restrepo Escobar Juan Carlos,Si
6,Robledo Castillo Jorge Enrique,No
6,Rodríguez Sarmiento Milton Arlex,Si
6,Sierra Grajales Luis Emilio,No
6,Velasco Chaves  Luis Fernando,No
6,Aguilar Hurtado Nerthink Mauricio,Si
6,Avirama Avirama Marco Aníbal,No
6,Barreras Montealegre Roy Leonardo,Si
6,Besaile Fayad Musa,Si
6,Elías Vidal Bernardo Miguel,Si
6,Hoyos Giraldo Germán Darío,Si
6,Lizcano Arango Oscar Mauricio,Si
6,Soto Jaramillo Carlos Enrique,No
6,Martínez Aristizábal Maritza,Si
6,García Burgos Nora María,No
6,Merheg Marun Juan Samy,No
6,Paredes Aguirre Myriam Alicia,No
6,Suárez Mira Olga Lucía,No
6,Tamayo Tamayo Fernando Eustacio,No
6,Casado de López Arleth Patricia,Si
6,Delgado Ruiz Édinson,No
6,Durán Barrera Jaime Enrique,No
6,García Turbay Lidio,Si
6,Santos Marín Guillermo Antonio,Si
6,Villalba Mosquera Rodrigo,Si
6,Correa Jiménez Antonio José,No
6,García Romero Teresita,No
6,Guerra Sotto Julio Miguel,No
6,Motoa Solarte Carlos Fernando,No
6,Name Iván Leonidas ,Si
6,Vega Quiroz Doris Clemencia,No
6,Andrade Casamá Luis Evelis,No
6,Castilla Salazar Jesús Alberto,No
6,Cepeda Castro Iván,No
6,Niño Avendaño Senén Segundo,No
6,López Hernández Claudia Nayibe,No
6,Navarro Wolff Antonio José ,No
6,Ospina Gómez Jorge Iván,No
6,Prieto Riveros Jorge Eliécer,No
6,Galán Pachón Carlos Fernando ,No
6,Martínez Rosales Rosmery,No
6,Varón Cotrino Germán,No
6,Alvarez Montenegro Javier Tato,Si
6,Cristo Bustos Andrés,No
6,Fernández Alcocer Mario Alberto ,Si
6,Gaviria Correa Sofía Alejandra,No
6,Morales Hoyos Viviane,No
6,Serpa Uribe Horacio ,Si
6,Acuña  Díaz Laureano Augusto,Si
6,Blel Scaf Nadya Georgette,No
6,Delgado Martínez Javier Mauricio,No
6,Gómez Jiménez Juan Diego,No
6,Osorio  Salgado Nidia Marcela ,No
6,Pestana Rojas Yamina del Carmen  ,No
6,Araújo Rumié Fernando Nicolás,No
6,Bustamante García Everth ,No
6,Cabrales Castillo Daniel  Alberto ,No
